code,value
"23223",1406498
"23224",-45925
"23225",-124773
"23226",-188217
"23227",-6742
"23228",-1945
"23229",-122068
"23230",-272998
"23231",53904
"23232",-51288
"23233",-99336
"23234",-106487
"23235",-75095
"23236",-209074
"23237",-111482
"23238",-262861
"23302",58420
"23342",-4560
"23361",-11850
"23362",-66446
"23424",-46567
"23425",-80350
"23427",-6201
"23441",-41592
"23442",500488
"23445",122308
"23446",103126
"23447",-41797
"23501",2615559
"23561",12329
"23562",5761
"23563",4294
"24201",-314387
"24202",-590050
"24203",241230
"24204",1046098
"24205",335778
"24207",-127360
"24208",35757
"24209",391071
"24210",-53910
"24211",564856
"24212",215203
"24214",-26652
"24215",411888
"24216",538918
"24303",98653
"24324",-36504
"24341",-48597
"24343",-24938
"24344",-27856
"24441",952406
"24442",1479187
"24443",60557
"24461",96680
"24470",10161
"24471",71232
"24472",86098
"24543",97111
"24561",99133
"24562",27679
"25201",-768094
"25202",13345
"25203",-51668
"25204",3715689
"25206",-89016
"25207",-53945
"25208",-116337
"25209",259366
"25210",-108904
"25211",52448
"25212",595375
"25213",441571
"25214",351659
"25383",-9149
"25384",185188
"25425",49571
"25441",391058
"25442",48408
"25443",-416
"26100",-3214602
"26201",188268
"26202",-7717
"26203",73839
"26204",-279395
"26205",145840
"26206",2213184
"26207",-67684
"26208",-129757
"26209",171642
"26210",-120594
"26211",-143363
"26212",552462
"26213",112876
"26214",-173224
"26303",12525
"26322",43103
"26343",-9705
"26344",126212
"26364",3152
"26365",-125
"26366",-82235
"26367",17683
"26407",102986
"26463",12929
"26465",33888
"27100",-8750581
"27140",-2498992
"27202",916405
"27203",-1520651
"27204",-180205
"27205",-1111529
"27206",438157
"27207",-821010
"27208",522538
"27209",-196148
"27210",-601511
"27211",-766794
"27212",-330325
"27213",2044676
"27214",-181459
"27215",-363954
"27216",318960
"27217",-97819
"27218",2732499
"27219",83041
"27220",-522477
"27221",35249
"27222",-127118
"27223",249796
"27224",-160800
"27225",-142506
"27226",-82150
"27227",-717282
"27228",411104
"27229",-77909
"27230",-169334
"27231",-141299
"27232",390386
"27301",-67836
"27321",-10936
"27322",6039
"27341",253511
"27361",359807
"27362",-5488
"27366",-14372
"27381",-21451
"27382",-4470
"27383",5924
"28100",-4151194
"28201",-940059
"28202",-806287
"28203",-169038
"28204",-1832229
"28205",5335273
"28206",-612911
"28207",-384486
"28208",32349
"28209",799932
"28210",-140435
"28212",180049
"28213",625755
"28214",-780797
"28215",389370
"28216",69556
"28217",-211608
"28218",208987
"28219",-181758
"28220",5267432
"28221",134703
"28222",507934
"28223",206416
"28224",1061087
"28225",442075
"28226",724036
"28227",225204
"28228",754342
"28229",150630
"28301",-32279
"28365",89742
"28381",20404
"28382",-52878
"28442",351778
"28443",31059
"28446",13361
"28464",328546
"28481",128125
"28501",18826
"28585",429339
"28586",310538
"29201",-727720
"29202",195943
"29203",141250
"29204",26529
"29205",-165189
"29206",135900
"29207",57370
"29208",9501
"29209",-324719
"29210",-159876
"29211",-38900
"29212",143214
"29322",13843
"29342",-3398
"29343",-39469
"29344",-36361
"29345",2422
"29361",13239
"29362",10601
"29363",-18192
"29385",28504
"29386",6443
"29401",63634
"29402",17320
"29424",-30768
"29425",-13398
"29426",-87751
"29427",6679
"29441",75846
"29442",32692
"29443",9882
"29444",4633
"29446",3024
"29447",1142
"29449",2063
"29450",29594
"29451",10844
"29452",10908
"29453",4654
"30201",165282
"30202",351149
"30203",157817
"30204",4066184
"30205",942935
"30206",43548
"30207",47501
"30208",493657
"30209",-57965
"30304",66647
"30341",308898
"30343",187468
"30344",52010
"30361",3388561
"30362",275749
"30366",464638
"30381",1032925
"30382",40095
"30383",27375
"30390",26154
"30391",78263
"30392",26662
"30401",232931
"30404",184846
"30406",51669
"30421",33318
"30422",23667
"30424",4548
"30427",614419
"30428",57124
"31201",291921
"31202",721406
"31203",487231
"31204",372052
"31302",128361
"31325",22888
"31328",2154
"31329",63876
"31364",41836
"31370",130752
"31371",320702
"31372",632646
"31384",111500
"31386",409379
"31389",67101
"31390",26670
"31401",25868
"31402",7791
"31403",134416
"32201",-127269
"32202",1161786
"32203",344183
"32204",154609
"32205",151718
"32206",603012
"32207",148676
"32209",192048
"32343",366757
"32386",259221
"32441",20992
"32448",45277
"32449",162296
"32501",62586
"32505",98691
"32525",123735
"32526",67072
"32527",1932
"32528",21171
"33100",-1666062
"33202",-559699
"33203",88602
"33204",283035
"33205",471641
"33207",2744
"33208",496705
"33209",154683
"33210",30986
"33211",239190
"33212",493614
"33213",269211
"33214",160361
"33215",105967
"33216",73327
"33346",115213
"33423",-6769
"33445",61748
"33461",12098
"33586",16827
"33606",9892
"33622",29255
"33623",10881
"33643",141819
"33663",34273
"33666",87523
"33681",1079727
"34100",-3156063
"34202",301562
"34203",47027
"34204",3231
"34205",187718
"34207",-704459
"34208",43292
"34209",57746
"34210",19230
"34211",257684
"34212",-168663
"34213",63704
"34214",173432
"34215",19523
"34302",-107283
"34304",-28688
"34307",41777
"34309",-10272
"34368",108594
"34369",30612
"34431",41255
"34462",65634
"34545",1153894
"35201",278521
"35202",-156588
"35203",194266
"35204",124656
"35206",-79778
"35207",-59792
"35208",-14224
"35210",-20815
"35211",185526
"35212",74913
"35213",21297
"35215",-108510
"35216",111478
"35305",25653
"35321",61907
"35341",29398
"35343",46345
"35344",28577
"35502",5818
"36201",-197717
"36202",285316
"36203",19671
"36204",-22359
"36205",14646
"36206",52494
"36207",7116
"36208",25553
"36301",-1380
"36302",15604
"36321",142190
"36341",27689
"36342",71832
"36368",80409
"36383",5301
"36387",8700
"36388",95542
"36401",44722
"36402",-15763
"36403",-11822
"36404",949
"36405",9345
"36468",10293
"36489",-2960
"37201",-164431
"37202",-12858
"37203",306198
"37204",170470
"37205",786497
"37206",54056
"37207",764270
"37208",719261
"37322",196676
"37324",586441
"37341",591624
"37364",58214
"37386",5234
"37387",53093
"37403",62977
"37404",272300
"37406",30208
"38201",-240349
"38202",707027
"38203",259692
"38204",1125130
"38205",367143
"38206",683596
"38207",218547
"38210",33711
"38213",139710
"38214",193976
"38215",-38658
"38356",12251
"38386",7222
"38401",-9652
"38402",44751
"38422",6018
"38442",6021
"38484",7008
"38488",58127
"38506",195444
"39201",6756
"39202",1542755
"39203",148153
"39204",373758
"39205",280365
"39206",2136506
"39208",557600
"39209",228732
"39210",414921
"39211",459636
"39212",188603
"39301",95697
"39302",17976
"39303",323465
"39304",86478
"39305",59602
"39306",153923
"39307",1983696
"39341",10511
"39344",2601
"39363",97167
"39364",20731
"39386",173501
"39387",21728
"39401",91090
"39402",232596
"39403",150526
"39405",9275
"39410",101716
"39411",22121
"39412",1459857
"39424",437204
"39427",6028
"39428",1074242
"40100",-546151
"40130",-5221648
"40202",126764
"40203",1858454
"40204",63177
"40205",4250073
"40206",157352
"40207",415001
"40210",834475
"40211",249374
"40212",955046
"40213",147335
"40214",160695
"40215",1236727
"40216",596756
"40217",47249
"40218",318524
"40219",346735
"40220",1389153
"40221",330737
"40223",678513
"40224",341255
"40225",413586
"40226",137787
"40227",249261
"40228",2235623
"40229",447216
"40230",1012982
"40231",118323
"40341",652978
"40342",74480
"40343",731220
"40344",851430
"40345",3821197
"40348",252902
"40349",133617
"40381",16632
"40382",27767
"40383",85153
"40384",58323
"40401",35014
"40402",47571
"40421",103778
"40447",179223
"40448",101439
"40503",1220974
"40522",580324
"40544",174618
"40601",7590
"40602",26595
"40604",13799
"40605",728880
"40608",317784
"40609",187466
"40610",2212577
"40621",-18610
"40625",53625
"40642",15016
"40646",348722
"40647",64994
"41201",1264478
"41202",4315961
"41203",501304
"41204",846926
"41205",1991412
"41206",1311929
"41207",697355
"41208",1343028
"41209",3239014
"41210",1850798
"41327",699183
"41341",1179667
"41345",4432980
"41346",2318704
"41387",1656914
"41401",1217045
"41423",785815
"41424",305498
"41425",600032
"41441",1175262
"42201",415960
"42202",1876780
"42203",789330
"42204",102887
"42205",157726
"42207",634588
"42208",949566
"42209",237614
"42210",300036
"42211",262514
"42212",473942
"42213",237081
"42214",654980
"42307",29573
"42308",283905
"42321",342389
"42322",46058
"42323",1757904
"42383",47276
"42391",619
"42411",55610
"43100",-930448
"43202",1188275
"43203",3432882
"43204",405064
"43205",142771
"43206",842661
"43208",174115
"43210",106639
"43211",1148930
"43212",753523
"43213",564789
"43214",176248
"43215",1583435
"43216",58240
"43348",24775
"43364",1111927
"43367",143445
"43368",806376
"43369",552285
"43403",598408
"43404",-53420
"43423",989815
"43424",218937
"43425",16754
"43428",854681
"43432",422330
"43433",208734
"43441",2474290
"43442",367755
"43443",1437672
"43444",91833
"43447",108560
"43468",119434
"43482",320888
"43484",21069
"43501",327435
"43505",93767
"43506",38383
"43507",46901
