name,latitude,longitude,address
八戸ピアドゥ店,40.527547648372334,141.49744032242526,青森県八戸市沼館４－７－１１２ＳＣピアドゥ内
ＤＣＭ青森中央店,40.804322676081455,140.7551147553358,青森県青森市青葉３－５－６
三沢店,40.67404259546196,141.36585141606557,青森県三沢市栄町２－３１－１４４
シーナシーナ青森店,40.80046768081155,140.7493646449087,青森県青森市浜田１－１４－１
むつ中央店,41.2878855565401,141.1849456520892,青森県むつ市中央２－２９
イオンモールつがる柏店,40.80112384763253,140.4177017608787,青森県つがる市柏稲盛幾世４１
十和田イオンスーパーセンター店,40.60362758381419,141.25768844620322,青森県十和田市大字相坂字六日町山１６６－１
青森サンロード店,40.80791857335765,140.7530536385273,青森県青森市緑３－９－２
八戸南類家店,40.50421875080997,141.50669852389282,青森県八戸市南類家１－２－６
１０２黒石インター店,40.632029730236596,140.59684172370865,青森県黒石市大字中川字篠村３７－１
４５４八戸西店,40.51108166784533,141.4479475458289,青森県八戸市大字長苗代字二日市１３－１
五所川原中央店,40.79534163214429,140.44998775851744,青森県五所川原市中央３－２０８
八戸城下店,40.52018361278153,141.49151735347746,青森県八戸市城下４－７－１５
弘前大町店,40.59461574484982,140.48391579572407,青森県弘前市大字大町１－１７－７
八戸ラピア店,40.52231567827187,141.50350950712013,青森県八戸市江陽２－１４－１ラピア３Ｆ
１０２十和田店,40.6160896891667,141.2119296446292,青森県十和田市稲生町１３－７
弘前城東北店,40.609730749922484,140.49756655332797,青森県弘前市城東北４－４－１１
４号線盛岡南店,39.658756890437004,141.16147141742675,岩手県盛岡市津志田南１－１－１５
２９８花巻店,39.39805599048149,141.122963220017,岩手県花巻市上小舟渡４１－１
４号線一関店,38.93687799845445,141.11857419407016,岩手県一関市山目字大槻７０－１
イオン前沢店,39.04996187554917,141.1311861580869,岩手県奥州市前沢向田２－２２
４号線盛岡上田店,39.72271078194456,141.13428528733226,岩手県盛岡市上田４－１７－２０
盛岡フェザン店,39.7025687544515,141.1360042154449,岩手県盛岡市盛岡駅前通１－４４盛岡駅ビルフェザン本館Ｂ１Ｆグルメタウン内
イオンモール盛岡店,39.711134970392656,141.09933534871138,岩手県盛岡市前潟４－７－１イオン盛岡２Ｆ
イオンモール盛岡南店,39.68354574812418,141.1281114333698,岩手県盛岡市本宮７－１－１
１０６宮古店,39.63884073917249,141.94613613574208,岩手県宮古市宮町１－１－３８
１０７北上店,39.29364283505198,141.1016433567391,岩手県北上市北鬼柳１８地割１９－２
盛岡西バイパス本宮店,39.68548084381138,141.12959731520263,岩手県盛岡市本宮４－４４－１５
盛岡青山店,39.732874824124565,141.11458623085156,岩手県盛岡市青山４－４６－５４
４号線水沢店,39.14583707920211,141.14941428047482,岩手県奥州市水沢佐倉河川原田５５－１
矢巾店,39.61762294791911,141.16549231519042,岩手県紫波郡矢巾町大字藤沢５－１２－１２
仙台青葉通り店,38.25944317414355,140.87225114597322,宮城県仙台市青葉区一番町２－５－１
仙台黒松店,38.30960816626344,140.88031725308198,宮城県仙台市泉区八乙女中央１－１－１
仙台中央通り店,38.261287273627296,140.87724701505127,宮城県仙台市青葉区中央２－２－２９
４号線名取店,38.156201100309026,140.88756604692688,宮城県名取市飯野坂土城掘８２－１
市名坂店,38.31945425196277,140.88988318138604,宮城県仙台市泉区市名坂字東裏９７－１
泉中山店,38.29707501561928,140.82746826234268,宮城県仙台市泉区南中山１－４２－５
４号線白石店,37.99727535007861,140.61248808276105,宮城県白石市八幡町４６９
４５号石巻店,38.43085899493924,141.26206009290757,宮城県石巻市門脇一番谷地４６－１
大河原店,38.06144128442728,140.7375090079045,宮城県柴田郡大河原町字新東２７－１４
中田ヤマザワ店,38.19676504812351,140.89775409925392,宮城県仙台市太白区中田町字千刈田１９－１
イオン仙台中山店,38.29767801043135,140.8277762628139,宮城県仙台市泉区南中山１－３５－４０イオン仙台中山店３Ｆ
ザ・モール仙台長町店,38.22601327184142,140.87649512520744,宮城県仙台市太白区長町７－２０－３
イオン古川店,38.5667269433359,140.97275118634673,宮城県大崎市古川旭２－２－１
４号線古川店,38.57503798591827,140.94657417709016,宮城県大崎市古川城西１－１１－２５
仙台駅東口店,38.26079807220993,140.88363009574311,宮城県仙台市宮城野区榴岡２－１－２５Ｂｉｖｉ仙台駅東口１Ｆ
利府街道店,38.33115519722645,140.9778072264577,宮城県宮城郡利府町利府字新並松６４－１
ザ・ビッグ柴田店,38.06244811059962,140.7948981589485,宮城県柴田郡柴田町中名生字佐野３４－１
亘理コープ店,38.042575293768024,140.87723196039767,宮城県亘理郡亘理町逢隈高屋字柴北１００
４号線仙台松森店,38.30464420732352,140.91527001088932,宮城県仙台市泉区松森字関場３２－１
仙台一番町四丁目店,38.26391011301926,140.87071523593846,宮城県仙台市青葉区一番町４－４－３３－２Ｆ
大和吉岡ヨークベニマル店,38.43663910946356,140.89279211034744,宮城県黒川郡大和町吉岡東１－２－１
仙台大野田店,38.21353725481678,140.87792919710193,宮城県仙台市太白区大野田２－７－２９
４５号塩釜店,38.33153220147081,141.03810309512644,宮城県塩竈市杉の入３－１－１
岩沼西ヨークベニマル店,38.107732188289646,140.85688096559403,宮城県岩沼市たけくま２－３－６７
南吉成ヨークベニマル店,38.28661118034076,140.81639804830263,宮城県仙台市青葉区南吉成３－１－２１
イオンモール富谷店,38.364071998574076,140.8753492819477,宮城県富谷市大清水１－３３－１
山田鈎取ヨークタウン店,38.21636211639915,140.83675707751075,宮城県仙台市太白区山田字田中前１８０
新田東ヨークタウン店,38.27627923331508,140.93701612894378,宮城県仙台市宮城野区新田東３－１－５
佐沼店,38.68567808438879,141.18635106410477,宮城県登米市迫町佐沼字萩洗２－１２－１３
イオンモール名取店,38.164144047075204,140.89622214829646,宮城県名取市杜せきのした５丁目３番地の１
イオンモール石巻店,38.44788213119792,141.2655589752997,宮城県石巻市茜平４－１０４
仙台六丁の目店,38.25048710966007,140.9334770939286,宮城県仙台市若林区六丁の目元町１６－１
仙台長町店,38.22582918049525,140.88786109336107,宮城県仙台市太白区あすと長町４－２－１
石巻蛇田店,38.44673606714912,141.27205319058018,宮城県石巻市恵み野１－２－８
４号線岩沼店,38.12232017334589,140.87410518352894,宮城県名取市堀内字北竹８５－５
明石台店,38.347948242354974,140.89206414787495,宮城県富谷市明石台６－１－３６
仙台沖野店,38.231634102237344,140.90813823068245,宮城県仙台市若林区沖野２－５－８０
多賀城店,38.285985108798556,141.0051769888785,宮城県多賀城市町前２－３－１２
４号線古川荒谷店,38.60315012668536,140.9790130646259,宮城県大崎市古川荒谷字新芋川３２－１
４８号愛子ヨークタウン店,38.26775118251754,140.7607240443465,宮城県仙台市青葉区上愛子字新宮前２０－１
２８６西多賀店,38.22037017402085,140.85270606272707,宮城県仙台市太白区西多賀５－１６－８
イオンモール新利府店,38.32278321477951,140.97192702070566,宮城県宮城郡利府町新中道３－１－１
広瀬通駅前店,38.26316723127695,140.8737261208813,宮城県仙台市青葉区本町２－３－１０
イオン気仙沼店,38.889011069466484,141.572905076847,宮城県気仙沼市赤岩舘下６－１外
角田ヤマザワ店,37.97495210620868,140.7955910417239,宮城県角田市角田中島下５５９－１
イオンモール仙台上杉店,38.27575017131909,140.87201401122445,宮城県仙台市青葉区堤通雨宮町１－１
