社名,株価換算係数,業種,セクター,証券コード,株価,換算株価,除数換算株価,ウエイト
いすゞ自動車,0.5,自動車,技術,7202,2249,1124.5,3769.6949,0.0579
大阪瓦斯,0.2,ガス,運輸・公共,9532,5574,1114.8,3737.1773,0.0574
住友重機械工業,0.2,機械,資本財・その他,6302,5413,1082.6,3629.2323,0.0558
サイバーエージェント,0.8,サービス,消費,4751,1337,1069.6,3585.6520,0.0551
東日本旅客鉄道,0.3,鉄道・バス,運輸・公共,9020,3560,1068,3580.2883,0.0550
Ｊ．フロントリテイリング,0.5,小売業,消費,3086,2134,1067,3576.9360,0.0550
トクヤマ,0.2,化学,素材,4043,4840,968,3245.0553,0.0499
三井化学,0.4,化学,素材,4183,2199,879.6,2948.7094,0.0453
小田急電鉄,0.5,鉄道・バス,運輸・公共,9007,1663,831.5,2787.4623,0.0428
Ｔ＆Ｄホールディングス,0.2,保険,金融,8795,4147,829.4,2780.4224,0.0427
パン・パシフィック・インターナショナルホールディングス,1,小売業,消費,7532,813,813,2725.4442,0.0418
東急,0.5,鉄道・バス,運輸・公共,9005,1608,804,2695.2732,0.0414
ディー・エヌ・エー,0.3,サービス,消費,2432,2673,801.9,2688.2333,0.0413
デンカ,0.2,化学,素材,4061,3951,790.2,2649.0111,0.0407
王子ホールディングス,1,パルプ・紙,素材,3861,773,773,2591.3510,0.0398
楽天グループ,1,サービス,消費,4755,752,752,2520.9521,0.0387
京王電鉄,1,鉄道・バス,運輸・公共,9008,740,740,2480.7241,0.0381
みずほフィナンシャルグループ,0.1,銀行,金融,8411,7390,739,2477.3718,0.0381
第一ライフグループ,0.4,保険,金融,8750,1676,670.4,2247.4019,0.0345
ＳＨＩＦＴ,1,サービス,消費,3697,642,642,2152.1958,0.0331
シャープ,1,電気機器,技術,6753,633,633,2122.0248,0.0326
東宝,0.5,サービス,消費,9602,1227,613.5,2056.6544,0.0316
住友化学,1,化学,素材,4005,597,597,2001.3409,0.0308
コニカミノルタ,1,精密機器,技術,4902,576,576,1930.9420,0.0297
双日,0.1,商社,素材,2768,5559,555.9,1863.5602,0.0286
東武鉄道,0.2,鉄道・バス,運輸・公共,9001,2759,551.8,1849.8156,0.0284
三菱ケミカルグループ,0.5,化学,素材,4188,1097,548.5,1838.7529,0.0283
長谷工コーポレーション,0.2,建設,資本財・その他,1808,2728,545.6,1829.0312,0.0281
三菱マテリアル,0.1,非鉄・金属,素材,5711,5343,534.3,1791.1498,0.0275
西日本旅客鉄道,0.2,鉄道・バス,運輸・公共,9021,2647,529.4,1774.7234,0.0273
ＮＴＮ,1,機械,資本財・その他,6472,433,433,1451.5588,0.0223
太平洋セメント,0.1,窯業,素材,5233,4165,416.5,1396.2454,0.0215
日産自動車,1,自動車,技術,7201,378,378,1267.1807,0.0194
ＡＲＣＨＩＯＮ,1,自動車,技術,543A,373,373,1250.4190,0.0192
ＳＵＭＣＯ,0.1,非鉄・金属,素材,3436,3378,337.8,1132.4170,0.0174
帝人,0.2,繊維,素材,3401,1601,320.2,1073.4160,0.0165
ＵＢＥ,0.1,化学,素材,4208,3008,300.8,1008.3808,0.0155
ＡＮＡホールディングス,0.1,空運,運輸・公共,9202,2890,289,968.8233,0.0149
中部電力,0.1,電力,運輸・公共,9502,2868,286.8,961.4482,0.0148
カナデビア,0.2,機械,資本財・その他,7004,1400,280,938.6524,0.0144
日本製鉄,0.5,鉄鋼,素材,5401,557,278.5,933.6239,0.0144
あおぞら銀行,0.1,銀行,金融,8304,2777,277.7,930.9420,0.0143
関西電力,0.1,電力,運輸・公共,9503,2328,232.8,780.4224,0.0120
マツダ,0.2,自動車,技術,7261,1096,219.2,734.8307,0.0113
りそなホールディングス,0.1,銀行,金融,8308,2107,210.7,706.3359,0.0109
神戸製鋼所,0.1,鉄鋼,素材,5406,1960,196,657.0567,0.0101
ＪＦＥホールディングス,0.1,鉄鋼,素材,5411,1640,164,549.7821,0.0084
ＬＩＮＥヤフー,0.4,サービス,消費,4689,400,160,536.3728,0.0082
東京電力ホールディングス,0.1,電力,運輸・公共,9501,572,57.2,191.7533,0.0029
三菱自動車工業,0.1,自動車,技術,7211,397,39.7,133.0875,0.0020
